;NOME MUNICÍPIO;UF;MÊS DISPONIBILIZAÇÃO;CÓDIGO MUNICÍPIO IBGE;soma_valor_beneficio;count_valor_beneficio;concatenar
0;ABADIA DE GOIAS;GO;202004;5200050.0;1772400;2570;202004ABADIA DE GOIASGO
1;ABADIA DE GOIAS;GO;202005;10400100.0;2474400;3662;202005ABADIA DE GOIASGO
2;ABADIA DE GOIAS;GO;202006;15600150.0;1170600;1760;202006ABADIA DE GOIASGO
3;ABADIA DE GOIAS;GO;202007;20800200.0;2624400;3887;202007ABADIA DE GOIASGO
4;ABADIA DE GOIAS;GO;202008;26000250.0;2253000;3341;202008ABADIA DE GOIASGO
5;ABADIA DE GOIAS;GO;202009;31200300.0;2880600;4401;202009ABADIA DE GOIASGO
6;ABADIA DE GOIAS;GO;202010;36400350.0;1844100;3984;202010ABADIA DE GOIASGO
7;ABADIA DE GOIAS;GO;202011;41600400.0;2426100;6195;202011ABADIA DE GOIASGO
8;ABADIA DE GOIAS;GO;202012;46800450.0;2212200;6237;202012ABADIA DE GOIASGO
9;ABADIA DOS DOURADOS;MG;202004;3100104.0;683400;1053;202004ABADIA DOS DOURADOSMG
10;ABADIA DOS DOURADOS;MG;202005;6200208.0;929400;1444;202005ABADIA DOS DOURADOSMG
11;ABADIA DOS DOURADOS;MG;202006;9300312.0;449400;685;202006ABADIA DOS DOURADOSMG
12;ABADIA DOS DOURADOS;MG;202007;12400416.0;973800;1511;202007ABADIA DOS DOURADOSMG
13;ABADIA DOS DOURADOS;MG;202008;15500520.0;829200;1295;202008ABADIA DOS DOURADOSMG
14;ABADIA DOS DOURADOS;MG;202009;18600624.0;1075800;1712;202009ABADIA DOS DOURADOSMG
15;ABADIA DOS DOURADOS;MG;202010;21700728.0;666000;1536;202010ABADIA DOS DOURADOSMG
16;ABADIA DOS DOURADOS;MG;202011;24800832.0;930900;2479;202011ABADIA DOS DOURADOSMG
17;ABADIA DOS DOURADOS;MG;202012;27900936.0;831900;2485;202012ABADIA DOS DOURADOSMG
18;ABADIANIA;GO;202004;5200100.0;1661400;2539;202004ABADIANIAGO
19;ABADIANIA;GO;202005;10400200.0;2173200;3334;202005ABADIANIAGO
20;ABADIANIA;GO;202006;15600300.0;934800;1445;202006ABADIANIAGO
21;ABADIANIA;GO;202007;20800400.0;2293800;3523;202007ABADIANIAGO
22;ABADIANIA;GO;202008;26000500.0;1964400;3009;202008ABADIANIAGO
23;ABADIANIA;GO;202009;31200600.0;2450700;3866;202009ABADIANIAGO
24;ABADIANIA;GO;202010;36400700.0;1483200;3443;202010ABADIANIAGO
25;ABADIANIA;GO;202011;41600800.0;2020500;5448;202011ABADIANIAGO
26;ABADIANIA;GO;202012;46800900.0;1903200;5595;202012ABADIANIAGO
27;ABAETE;MG;202004;3100203.0;2481000;3774;202004ABAETEMG
28;ABAETE;MG;202005;6200406.0;3324600;5118;202005ABAETEMG
